"Category","Map","Region","Time","Method_or_Pool","Min_Level","Max_Level","Rate_A","Species_A","Rate_B","Species_B","Rate_C","Species_C","Rate_D","Species_D"
"Standard","MAP_BLACKTHORN_CITY_HNS","","Any","Fishing","59","62","30","SEADRA","30","WHISCASH","30","CRAWDAUNT","10","DRATINI"
"Standard","MAP_BLACKTHORN_CITY_HNS","","Any","Land","59","62","30","VILEPLUME","30","SNORLAX","30","ELECTIVIRE","10","KINGAMBIT"
"Standard","MAP_BLACKTHORN_CITY_HNS","","Any","Surf","59","62","30","SEADRA","30","DRAGONAIR","30","GYARADOS","10","MILOTIC"
"Standard","MAP_BURNED_TOWER_1F_HNS","","Day","Land","33","36","30","CETODDLE","30","TORKOAL","30","ORICORIO_BAILE","10","CYNDAQUIL"
"Standard","MAP_BURNED_TOWER_1F_HNS","","Night","Land","33","36","30","BOMBIRDIER","30","SALANDIT","30","PHANTUMP","10","TORCHIC"
"Standard","MAP_BURNED_TOWER_B1F_HNS","","Day","Land","34","37","30","INDEEDEE_M","30","ORANGURU","30","RATTATA","10","CHIMCHAR"
"Standard","MAP_BURNED_TOWER_B1F_HNS","","Night","Land","34","37","30","MIMIKYU_DISGUISED","30","SKORUPI","30","HONEDGE","10","LITTEN"
"Standard","MAP_CELADON_CITY_HNS","","Any","Fishing","70","84","30","TENTACRUEL","30","GOLISOPOD","30","BASCULEGION_M","10","WALREIN"
"Standard","MAP_CELADON_CITY_HNS","","Any","Land","70","84","30","REUNICLUS","30","BLISSEY","30","FLORGES_RED","10","URSALUNA"
"Standard","MAP_CELADON_CITY_HNS","","Any","Surf","70","84","30","WAILORD","30","GOLISOPOD","30","BASCULEGION_M","10","WALREIN"
"Standard","MAP_CERULEAN_CAVE_1F_HNS","","Day","Fishing","85","95","30","TYMPOLE","30","BINACLE","30","DREDNAW","10","LAPRAS"
"Standard","MAP_CERULEAN_CAVE_1F_HNS","","Day","Land","85","95","30","SALAMENCE","30","HYDREIGON","30","DRAGAPULT","10","GOODRA"
"Standard","MAP_CERULEAN_CAVE_1F_HNS","","Day","Rock Smash","85","95","30","DONPHAN","30","GIGALITH","30","CONKELDURR","10","AGGRON"
"Standard","MAP_CERULEAN_CAVE_1F_HNS","","Day","Surf","85","95","30","SKRELP","30","MAREANIE","30","CLAUNCHER","10","TENTACRUEL"
"Standard","MAP_CERULEAN_CAVE_B1F_HNS","","Day","Fishing","85","95","30","CHEWTLE","30","FINIZEN","30","TYMPOLE","10","LAPRAS"
"Standard","MAP_CERULEAN_CAVE_B1F_HNS","","Day","Land","85","95","30","DUSKNOIR","30","HAXORUS","30","URSALUNA","10","BAXCALIBUR"
"Standard","MAP_CERULEAN_CAVE_B1F_HNS","","Day","Rock Smash","85","95","30","COPPERAJAH","30","BEWEAR","30","MUDSDALE","10","VIKAVOLT"
"Standard","MAP_CERULEAN_CAVE_B1F_HNS","","Day","Surf","85","95","30","LUMINEON","30","SHARPEDO","30","RELICANTH","10","TENTACRUEL"
"Standard","MAP_CERULEAN_CAVE_B2F_HNS","","Day","Fishing","85","95","30","PELIPPER","30","PALAFIN_ZERO","30","DREDNAW","10","LAPRAS"
"Standard","MAP_CERULEAN_CAVE_B2F_HNS","","Day","Land","85","95","30","CHANDELURE","30","METAGROSS","30","SALAMENCE","10","DRAGONITE"
"Standard","MAP_CERULEAN_CAVE_B2F_HNS","","Day","Rock Smash","85","95","30","HIPPOWDON","30","KLEAVOR","30","GARGANACL","10","KLINKLANG"
"Standard","MAP_CERULEAN_CAVE_B2F_HNS","","Day","Surf","85","95","30","CORSOLA","30","ARAQUANID","30","WUGTRIO","10","TATSUGIRI_CURLY"
"Standard","MAP_CERULEAN_CITY_HNS","","Any","Fishing","70","84","30","FLOATZEL","30","CLAWITZER","30","BARBARACLE","10","SEISMITOAD"
"Standard","MAP_CERULEAN_CITY_HNS","","Any","Surf","70","84","30","TOXAPEX","30","BARRASKEWDA","30","TENTACRUEL","10","WALREIN"
"Standard","MAP_CHERRYGROVE_CITY_HNS","","Any","Fishing","3","6","30","MAGIKARP","30","GOLDEEN","30","BARBOACH","10","FEEBAS"
"Standard","MAP_CHERRYGROVE_CITY_HNS","","Any","Land","3","6","30","TADBULB","30","VOLTORB","30","DITTO","10","ZUBAT"
"Standard","MAP_CHERRYGROVE_CITY_HNS","","Any","Surf","3","6","30","MAGIKARP","30","GOLDEEN","30","WOOPER","10","POLIWAG"
"Standard","MAP_CIANWOOD_CITY_HNS","","Any","Fishing","41","44","30","CLAUNCHER","30","RELICANTH","30","SKRELP","10","FROAKIE"
"Standard","MAP_CIANWOOD_CITY_HNS","","Any","Land","41","44","30","GOTHITA","30","LITLEO","30","GLOOM","10","EELEKTRIK"
"Standard","MAP_CIANWOOD_CITY_HNS","","Any","Surf","41","44","30","TENTACOOL","30","WINGULL","30","CLAUNCHER","10","POPPLIO"
"Standard","MAP_CINNABAR_ISLAND_HNS","","Any","Fishing","70","84","30","WAILORD","30","BARBARACLE","30","BASCULEGION_M","10","GOLISOPOD"
"Standard","MAP_CINNABAR_ISLAND_HNS","","Any","Land","70","84","30","HIPPOWDON","30","NOIVERN","30","AGGRON","10","RHYPERIOR"
"Standard","MAP_CINNABAR_ISLAND_HNS","","Any","Surf","70","84","30","FLOATZEL","30","TOXAPEX","30","CLAWITZER","10","SEISMITOAD"
"Standard","MAP_CLIFF_EDGE_CAVE_HNS","","Day","Land","46","49","30","GIMMIGHOUL_CHEST","30","AXEW","30","MISDREAVUS","10","GOLETT"
